"%s; rev #%s","%s; rev #%s"
"Access Level","Nível de Acesso"
"No Nodes available","Nenhum Nó disponível"
"No preview available","Nenhuma prévia disponível"
"Node","Nó"
"Node Levels to Include","Níveis de Nó a Incluir"
"Node Properties","Propriedades de Nó"
"Node with same URL Key already exists.","Um nó com a mesma chave de URL já existe."
"Numbers (1, 2, 3, ...)","Números (1, 2, 3, ...)"
"Only Children","Apenas Filhos"
"Ordered","Ordenado"
"Owner","Dono"
"Page ID","ID da Página"
"Page Properties","Propriedades da Página"
"Page lock expires in 60 seconds. Save changes to avoid possible data loss.","A trava de página expira em 60 segundos. Salve suas mudanças para evitar a perda de dados."
"Page:","Página:"
"Pages","Páginas"
"Pages Hierarchy","Hierarquia de Páginas"
"Pagination Options for Nested Pages","Opções de Paginação para Páginas Aninhadas"
"Please select revision(s).","Por favor selecione a(s) revisão(ões)."
"Please select version(s).","Por favor selecione a(s) versão(ões)."
"Preview","Prévia"
"Previous","Anterior"
"Private","Privado"
"Protected","Protegido"
"Public","Público"
"Publish","Publicar"
"Publish Revision","Publicar Revisão"
"Published","Publicado"
"Published Revision Unavailable","Revisão Publicada Indisponível"
"Remove From Tree","Remover da Árvore"
"Render Metadata in HTML Head","Renderizar a Metadata no Cabeçalho HTML"
"Revision #","Revisão #"
"Revision #%s","Revisão #%s"
"Revision #%s could not be removed because it is published.","A revisão #%s não pode ser removida porque ela já foi publicada."
"Revision Information","Informações de Revisão"
"Revisions Qty","Qtd de Revisões"
"Right Column","Coluna Direita"
"Root","Raiz"
"Save","Salvar"
"Save Pages Hierarchy","Salvar Hierarquia de Páginas"
"Save Revision and Version","Salvar Revisão e Versão"
"Save and Continue Edit","Salvar e Continuar Editando"
"Save and Publish","Salvar E Publicar"
"Save as New Version","Salvar como uma Nova Versão"
"Save in New Version...","Salvar em uma Nova Versão..."
"Select Page or Node...","Selecione a Página ou o Nó..."
"Specify New Version Name (required)","Especifique o Nome da Nova Versão (obrigatório)"
"Square","Quadrado"
"Template","Template"
"The hierarchy has been saved.","A hierarquia foi salva com sucesso."
"The new version has been created.","A nova versão foi criada com sucesso."
"The revision has been deleted.","A revisão foi deletada com sucesso."
"The revision has been published.","A revisão foi publicada com sucesso."
"The revision has been saved.","A revisão foi salva com sucesso."
"The version has been deleted.","A versão foi deletada com sucesso."
"The version has been saved.","A versão foi salva com sucesso."
"There are unsaved node data. Are you sure you want to proceed?","Existem dados de nó não salvos. Tem certeza que deseja continuar?"
"This Page Belongs To","Essa Página Pertence A"
"This Page is locked by '%s'.","Essa Página está travada por '%s'."
"This Page is locked by you.","Essa Página está travada por você."
"This page cannot be added, because a node or page with the same URL Key already exists in this tree part.","Essa página não pode ser adicionada pois um nó ou uma página com a mesma chave de URL já existe nessa parte da árvore."
"This page is currently locked.","Essa página está travada no momento."
"Title","Título"
"Total of %d record(s) have been deleted","Um total de %d registro(s) foi/foram deletado(s) com sucesso"
"Total of %d record(s) have been deleted.","Um total de %d registro(s) foi/foram deletado(s) com sucesso."
"Tree Viewed","Visualizado em Árvore"
"URL Key","Chave de URL"
"Unable to find a revision to delete.","Impossível encontrar a revisão a ser deletada."
"Unable to find a version to delete.","Impossível encontrar a versão a ser deletada."
"Under Version Control","Sob Controle de Versionamento"
"Unlock This Page","Destravar Essa Página"
"Unordered","Sem Ordem"
"Update","Atualizar"
"Upper Alpha (A, B, C, ...)","Alfabeto Maiúsculo (A, B, C, ...)"
"Upper Roman (I, II, III, ...)","Romanas Maiúsculas (I, II, III, ...)"
"Use Parent","Usar Pai"
"Use default","Usar padrão"
"Version ""%s"" could not be removed because it is the last public version for its page.","A versão ""%s"" não pode ser removida porque ela é a última versão pública dessa página."
"Version ""%s"" could not be removed because its revision has been published.","A versão ""%s"" não pode ser removida porque a sua revisão já foi publicada."
"Version #","Versão #"
"Version Control","Controle de Versão"
"Version Information","Informações de Versão"
"Version Label","Rótulo de Versão"
"Version Revisions","Revisões de Versão"
"Version:","Versão:"
"Versions","Versões"
"Website Root","Raiz do Website"
"Yes","Sim"
"You should specify valid name","Você deve especificar um nome válido"
"[No Owner]","[Sem Dono]"
