"* Required Fields","* Campos Obrigatórios"
"Manage Addresses","Gerenciar Endereços"
"Manage Customer Address Attributes","Gerenciar os Atributos de Endereço de Cliente"
"Manage Customer Attributes","Gerenciar os Atributo de Cliente"
"Manage Form Types","Gerenciar os Tipos de Formulário"
"Manage Label / Options","Gerenciar Rótulo / Opções"
"Maximum File Size (bytes)","Tamanho Máximo de Arquivo (bytes)"
"Maximum Image Height (px)","Altura Máxima de Imagem (px)"
"Maximum Image Width (px)","Largura Máxima de Imagem (px)"
"Maximum Text Length","Comprimento Máximo de Texto"
"Maximum value","Valor máximo"
"Minimal value","Valor mínimo"
"Minimum Text Length","Comprimento Mínimo de Texto"
"Month","Mês"
"Multiple Line","Múltiplas Linhas"
"Multiple Select","Seleção Múltipla"
"My Account Wrapper","Wrapper da Minha Conta"
"My Dashboard","Meu Painel"
"New Address Entry","Nova Entrada de Endereço"
"New Attribute","Novo Atributo"
"New Customer Address Attribute","Novo Atributo de Endereço de Cliente"
"New Customer Attribute","Novo Atributo de Cliente"
"New Customers","Novos Clientes"
"New Fieldset","Novo Fieldset"
"New Form Type","Novo Tipo de Formulário"
"New Password","Nova Senha"
"Newsletter Subscription","Assinatura de Newsletter"
"Newsletters","Newsletters"
"No","Não"
"None","Nenhum"
"Normalize Date","Normalizar Data"
"Numeric Only","Apenas Números"
"Password","Senha"
"Personal Information","Informações Pessoais"
"Please enter your email below and we will send you the confirmation link for it.","Por favor digite o seu email no campo abaixo e lhe mandaremos o link de confirmação para ele."
"Please enter your email below and we\'ll send you a new password.","Por favor digite o seu email no campo abaixo e lhe mandaremos uma nova senha."
"Please select region, state or province","Por favor selecione a região, estado ou província"
"Properties","Propriedades"
"Register","Registrar"
"Registered Customers","Clientes Registrados"
"Remove","Remover"
"Save","Salvar"
"Save Address","Salvar Endereço"
"Save Attribute","Salvar Atributo"
"Save Password","Salvar Senha"
"Save and Continue Edit","Salvar e Continuar Editando"
"Send confirmation link","Enviar link de confirmação"
"Show on Frontend","Exibir no Frontend"
"Sign Up for Newsletter","Assine nossa Newsletter"
"Sort Order","Ordem de Classificação"
"State/Province","Estado/Província"
"Store Credit","Crédito na Loja"
"Store View","View da Loja"
"Street Address","Endereço"
"Street Address ","Endereço "
"Strip HTML Tags","Remover Tags HTML"
"Submit","Enviar"
"System","Sistema"
"System form type cannot be deleted.","O tipo de formulário de sistema não pode ser removido."
"Telephone","Telefone"
"Text Area","Área de Texto"
"Text Field","Campo de Texto"
"The customer address attribute has been deleted.","O atributo de endereço de cliente foi deletado com sucesso."
"The customer address attribute has been saved.","O atributo de endereço de cliente foi salvo com sucesso."
"The customer attribute has been deleted.","O atributo de cliente foi deletado com sucesso."
"The customer attribute has been saved.","O atributo de cliente foi salvo com sucesso."
"This is My Default %s Address","Esse é o Meu Endereço Padrão de %s"
"To use this attribute in address template you should edit it here.","Para usar esse atributo em templates de endereço você deve edita-lo aqui."
"URL","URL"
"Use Store Credit (%s available)","Usar Crédito na Loja (%s available)"
"Use as My Default %s Address","Usar como Meu Endereço Padrão de %s"
"Use as my default billing address","Usar como meu endereço padrão de cobrança"
"Use as my default shipping address","Usar como meu endereço padrão de entrega"
"Valid range 2-20","Faixa válida 2-20"
"Visible on Frontend","Visível no Frontend"
"YYYY","AAAA"
"Year","Ano"
"Yes","Sim"
"Yes/No","Sim/Não"
"You are currently not subscribed to any newsletter.","No momento você ainda não é assinante de nenhuma newsletter."
"You are currently subscribed to 'General Subscription'.","No momento você é assinante da 'Assinatura Geral'."
"You are currently subscribed to our newsletter.","No momento você é assinante de nossa newsletter."
"You cannot delete this attribute.","Você não pode deletar esse atributo."
"You cannot edit this attribute.","Você não pode editar esse atributo."
"You have no additional address entries in your address book.","Você não possui nenhum endereço adicional no seu catálogo de endereços."
"You have no default billing address in your address book.","Você não possui nenhum endereço padrão de cobrança padrão no seu catálogo de endereços."
"You have no default shipping address in your address book.","Você não possui nenhum endereço padrão de entrega no seu catálogo de endereços."
"Zip/Postal Code","CEP"
"[GLOBAL]","[GLOBAL]"
"[STORE VIEW]","[VIEW DA LOJA]"
"[WEBSITE]","[WEBSITE]"
