"-OR-","-OU-"
"Daily","Diariamente"
"Debit","Débito"
"Debit Card Cash Back","Saque de Cartão de Débito"
"Debit Card Transaction","Transação de Cartão de Débito"
"Debit or Credit","Débito ou Crédito"
"Debug Mode","Modo de Depuração"
"Direct Payment API","API de Pagamento Direto"
"Discount","Desconto"
"Displays on catalog pages and homepage.","Exbir nas páginas do catálogo e na página inicial."
"Don't have a PayPal account? Simply enter your email address.","Não tem uma conta PayPal? Digite apenas o seu endereço de email."
"Don’t have a PayPal merchant account? You can still accept credit card payments through the Payflow Pro Gateway.","Não tem uma conta PayPal? Você ainda poderá aceitar pagamentos via cartão de crédito através do gateway Payflow Pro."
"Dynamic","Dinâmico"
"EFT Funding (German banking)","Financiamento EFT (Bancos Alemães)"
"Edit Shopping Cart","Editar Carrinho de Compra"
"Email Associated with PayPal Merchant Account","Email Associado com a Conta PayPal Comerciante"
"Enable Automatic Fetching","Ativar Busca Automática de Dados"
"Enable PayPal Guest Checkout","Ativar Checkout de Visitante PayPal"
"Enabled","Ativado"
"Event","Evento"
"Event Code","Código do Evento"
"Every 10 days","A cada 10 dias"
"Every 14 days","A cada 14 dias"
"Every 3 days","A cada 3 dias"
"Every 30 days","A cada 30 dias"
"Every 40 days","A cada 40 dias"
"Every 7 days","A cada 7 dias"
"Exact Match. Address and Postal Code. International","Correspondência Exata. Endereço e Código Postal. Internacional"
"Exact Match. Address and Postal Code. UK-specific","Correspondência Exata. Endereço e Código Postal. Específico para Reino Unido"
"Exact Match. Address and nine-digit ZIP code","Correspondência Exata. Endereço e CEP de nove dígitos"
"Express Checkout","Checkout Expresso"
"Express Checkout (Payflow Edition) Settings","Configurações de Checkout Expresso (Edição Payflow)"
"Express Checkout APIs","APIs de Checkout Expresso"
"Express Checkout Settings","Configurações de Checkout Expresso"
"Express Checkout and Order have been canceled.","O Checkout Expresso e o pedido correspondente foram cancelados."
"Express Checkout has been canceled.","O Checkout Expresso foi cancelado."
"Failed to fetch reports from '%s@%s'.","Erro ao buscar os relatórios de '%s@%s'."
"Fee Amount","Valor da Tarifa"
"Fee Debit or Credit","Débito ou Crédito de Tarifa"
"Fee Reversal","Estorno de Tarifa"
"Fee: Foreign ACH Withdrawal","Tarifa: Retirada ACH Estrangeira"
"Fee: Mass Pay Request","Tarifa: Solicitação de Pagamento em Massa"
"Fee: Web Site Payments Pro Account Monthly","Tarifa: Conta Pro de Pagamentos via Web Site (Mensal)"
"Fee: WorldLink Check Withdrawal","Tarifa: Retirada via Cheque WorldLink"
"Fetch","Buscar Dados"
"Fetch Updates","Buscar Atualizações"
"Fetched %s report rows from '%s@%s'.","%s linhas de relatório buscadas de '%s@%s'."
"Frontend Experience Settings","Configurações de Experiência de Frontend"
"Funding","Financiamento"
"General (Authorization)","Geral (Autorização)"
"General (Dividend)","Geral (Dividendos)"
"General (Funds Transfer from PayPal Account to Another)","Geral (Transferência de Fundos de uma Conta PayPal para outra)"
"General (Purchase with a credit card)","Geral (Compras com cartão de crédito)"
"General Adjustment without businessrelated event","Ajuste Geral sem eventos relacionados a negócios"
"General Currency Conversion","Conversão Geral de Moeda"
"General Funding of PayPal Account ","Financiamento Geral de Conta PayPal "
"General Redemption","Resgate Geral"
"General Withdrawal from PayPal Account","Saque Geral de Conta PayPal"
"General. Product no longer supported","Geral. Produto não é mais suportado"
"General: Use of PayPal account for purchasing as well as receiving payments","Geral: Uso de conta PayPal para compras e também para recebimento de pagamentos"
"General: Withdrawal from PayPal Account","Geral: Retirada de uma Conta PayPal"
"General: Withdrawal to Non-Bank Entity","Geral: Retirada de uma Entidade Não Bancária"
"General: adjustment of a type not belonging to the other T12xx categories","Geral: Ajuste de tipo não pertencente a outra categoria T12xx"
"General: bonus of a type not belonging to the other T08xx categories","Geral: bônus de um tipo não pertencente a outra categoria T08xx"
"General: event not yet categorized","Geral: Evento não categorizado"
"General: non-payment fee of a type not belonging to the other T01xx categories","Geral: Tarifa não relacionada a pagamento de tipo não pertencente a outras categorias T01xx"
"General: received payment of a type not belonging to the other T00xx categories","Geral: Recebimento de pagamento de um tipo não pertencente a outras categorias T00xx"
"General: reversal of a type not belonging to the other T11xx categories","Geral: estorno de um tipo não pertencente a outras categorias T11xx"
"General: temporary hold of a type not belonging to the other T15xx categories","Geral: Espera temporária de um tipo não pertencente a outas categorias T15xx"
"Get Credentials from PayPal","Pegue suas Credenciais da PayPal"
"Gift Certificate Payment: purchase of Gift Certificate","Pagamento com Certificado de Presente: compra de Certificado de Presente"
"Gift Certificate Redemption","Resgate de Certificado de Presente"
"Gross Amount","Quantia Bruta"
"Header Background Color","Cor de Fundo do Cabeçalho"
"Header Border Color","Cor da Borda do Cabeçalho"
"Header Image URL","URL da Imagem de Cabeçalho"
"Help","Ajuda"
"Hidden Virtual PayPal Debit Card Transaction","Transação Virtual Oculta de Cartão de Débito PayPal"
"Hold for Dispute Investigation","Em Espera para Investigação de Disputa"
"IPN ""%s"".","IPN ""%s""."
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Se deixado vazio, o valor padrão será usado. Uma URL customizada poderá ser utilizada caso você tenha um contrato CardinalCommerce."
"If not specified, Default Country from General Config will be used","Se não especificado, será usado o País Padrão das Configurações Gerais"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","Se essa opção for ativada, o cliente poderá alterar o endereço de entrega e o método de envio dentro do site da PayPal. Em modo de produção, essa funcionalidade está disponível apenas para o protocolo HTTPS."
"Impossible to issue a refund transaction because the capture transaction does not exist.","Impossível emitir a transação de reembolso porque a transação de captura não existe."
"Incentive","Incentivo"
"Initiation Date","Data de Iniciação"
"Integral Evolution","Evolução Integral"
"Integral Evolution Settings","Configurações de Evolução Integral"
"Invoice ID","ID da Fatura"
"Issuer Liability","Responsabilidade do Emitente"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","é recomendo que esse valor seja individualmente configurado para ""Cartão de Débito ou Crédito"" para cada view da loja."
"It is recommended to set this value to ""PayPal"" per store views.","é recomendo que esse valor seja individualmente configurado para ""PayPal"" para cada view da loja."
"Items in Your Shopping Cart","Itens no Seu Carrinho de Compras"
"Last Correlation ID","Último ID de Correlação"
"Last Transaction ID","Último ID de Transação"
"Learn More","Saiba Mais"
"Login","Login"
"Looking for PayPal? We have our own tab to the left under Sales.","Procurando pela PayPal? Nós temos a nossa própria aba a esquerda dentro do menu Vendas."
"Mass Pay Payment","Pagamento em Massa"
"Matched (CVV2)","Correspondido (CVV2)"
"Matched (CVV2CSC)","Correspondido (CVV2CSC)"
"Matched Address only (no ZIP)","Correspondência de Endereço Apenas (sem CEP)"
"Matched Address only (no ZIP). International","Correspondência de Endereço Apenas(sem CEP). Internacional"
"Matched Postal Code only (no Address)","Correspondência de Código Postal Apenas (sem Endereço)"
"Matched five-digit ZIP only (no Address)","Correspondência do CEP de cínco dígitos Apenas (sem Endereço)"
"Matched whole nine-didgit ZIP (no Address)","Correspondência completa dos 9 dígitos do CEP (sem Endereço)"
"Merchant Account","Conta de Comerciante"
"Merchant Country","País do Comerciante"
"Merchant Liability","Responsabilidade do Comerciante"
"Merchant Protection Eligibility","Elegibilidade ao Programa de Proteção ao Comerciante"
"Merchant Referral Bonus","Bônus de Indicação de Comerciante"
"Merchant holds a non-U.S. account and does not have a withdrawal mechanism.","O comerciante possui uma conta não americana. a conta não possui um sistema de retirada."
"Merchant reference ID format is not supported.","Formato não suportado de ID de referência do comericante."
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","Comericantes devem requerer com a PayPal a ativação da funcionalidade de contratos de compra. Não ative essa opção até que a PayPal confirme que a funcionalidade de contratos de compra está realmente ativada na sua conta."
"Mobile Payment (made via a mobile phone)","Pagamentos Móveis (feitos via celulares)"
"N/A","N/D"
"N/A. Address not checked, or acquirer had no response. Service not available","N/D. Endereço não verificado, ou o adquirente não retornou nenhuma resposta. Serviço não disponível"
"N/A. Global Unavailable","N/D. Indisponível Globalmente"
"N/A. International Unavailable","N/D. Indisponível Internacionalmente"
"N/A. Merchant has indicated that CVV2 is not present on card","N/D. Comerciante indicou que um CVV2 não está presente no cartão"
"N/A. No response","N/D. Sem resposta"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","N/D. Não permitido para transações MOTO (Internet/Celular)"
"N/A. Not processed","N/D. Não procssado"
"N/A. Retry","N/D. Tente Novamente"
"N/A. Service not Supported","N/D. Serviço não Suportado"
"N/A. Service not available","N/D. Serviço nao disponível"
"N/A. Service not supported","N/D. Serviço não suportado"
"N/A. The merchant did not provide AVS information","N/D. O comerciante não forneceu nenhuma informação de AVS"
"N/A. The merchant has not implemented CVV2 code handling","N/D. O comerciante não implementou gerenciamento de código CVV2"
"N/A. Unavailable","N/D. Indisponível"
"Negative Balance","Saldo Negativo"
"Never","Nunca"
"No","Não"
"No Details matched","Nenhum Detalhe Correspondeu"
"No Details matched. International","Nenhum Detalhe corresponde. Internacional"
"No Liability Shift","Sem Troca de Responsabilidade"
"No Logo","Sem Logo"
"No match","Sem correspondência"
"None of the address information matched","Nenhuma das informações de endereço correspondeu"
"Note: %s","Nota: %s"
"Nothing to fetch because of an empty configuration.","Nada para buscar por causa de uma configuração vazia."
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.","Perceba que o PayPal suporta no máximo 10 opções de frete diferentes. é por isso que o Magento transfere apenas as 10 primeiras opções mais baratas disponíveis (caso haja mais de 10)."
"Notified customer about creditmemo #%s.","O cliente foi notificado a respeito da nota de crédito #%s."
"Notified customer about invoice #%s.","O cliente foi notificado a respeito da fatura #%s."
"Now accepting PayPal (150 X 40)","Agora aceitando PayPal (150 X 40)"
"Now accepting PayPal (150 X 60)","Agora aceitando PayPal (150 X 60)"
"Number of Child Authorizations","Número de Autorizações Filhas"
"Open Authorization","Abrir Autorização"
"Order","Pedido"
"Order ID","ID do Pedido"
"Order Valid Period (days)","Período de Validade do Pedido (dias)"
"Ordered amount of %s.","Quantia %s comprada."
"Ordering amount of %s is pending approval on gateway.","A quantia pedida de %s está aguardando aprovação por parte do gateway."
"Page Background Color","Cor de Fundo da Página"
"Page Style","Estilo da Página"
"Part of the address information matched","Parte da informação de endereço correspondeu"
"Partner","Parceiro"
"Pasarela integral","Pasarela integral"
"Pasarela integral Settings","Configurações de Pasarela integral"
"Password","Senha"
"Pay Now","Pagar Agora"
"PayPal","PayPal"
"PayPal Balance Manager function of PayPal account","Funcionalidade de Gerenciamento de Saldo da Conta PayPal"
"PayPal Buyer Warranty Bonus","Bônus da Garantia de Compra PayPal"
"PayPal Debit Card Cash Advance","Adiantamento em Dinheiro do Cartão de Débito PayPal"
"PayPal Debit Card Withdrawal from ATM","Saque via ATM de Cartão de Débito PayPal"
"PayPal Express Checkout Shortcut Wrapper","Wrapper do Atalho de Checkout Expresso da PayPal"
"PayPal Express Checkout Token does not exist.","Token de Checkout Expresso Paypal não existe."
"PayPal Express Order Review Form","Formulário de Conferência de Pedido via Checkout Expresso Paypal"
"PayPal Fee Information","Informações sobre Tarifas da PayPal"
"PayPal Merchant Pages Style","Estilos de Páginas de Comerciante PayPal"
"PayPal Pro","PayPal Pro"
"PayPal Pro Settings","Configurações do PayPal Pro"
"PayPal Product Logo","Logo do Produto PayPal"
"PayPal Protection Bonus","Bônus de Proteção PayPal"
"PayPal Reference ID","ID de Referência PayPal"
"PayPal Reference ID Type","Tipo de ID de Referência PayPal"
"PayPal Settlement Reports","Relatórios de Liquidação da PayPal"
"PayPal certificate does not exist.","O certificado da PayPal não existe."
"PayPal certificate file is empty.","O arquivo de certificado da PayPal está vazio."
"PayPal does not support processing orders with zero amount. To complete your purchase, proceed to the standard checkout process.","PayPal não suporta o processmento de pedidos com total zero. Para completar a sua compra, continue através do processo de checkout padrão."
"PayPal gateway has rejected request. %s","O gateway da PayPal rejeitou sua solicitação. %s"
"PayPal processes all of your orders, and you get paid.","O PayPal processa todos os seus pedidos, e você é pago."
"PayPal response hasn't required fields.","A resposta da PayPal não possui nenhum campo obrigatório."
"PayPal retains reports for 45 days.","A PayPal mantém seus relatórios por 45 dias."
"PayPal/Centinel Electronic Commerce Indicator","Indicador de Comércio Eletrônico PayPal/Centinel"
"PayPal/Centinel Visa Payer Authentication Service Result","Resultado do Serviço de Autenticação PayPal/Centinel para Pagamentos Visa"
"Payer Address ID","ID do Endereço do Sacado"
"Payer Address Status","Status do Endereço do Sacado"
"Payer Email","Email do Sacado"
"Payer Email: %s","Email do Sacado: %s"
"Payer ID","ID do Sacado"
"Payer Status","Status do Sacado"
"Payer is not identified.","O Sacado não foi identificado."
"Payflow Link (for USA and Canada)","Payflow Link (Para EUA e Canadá)"
"Payflow Link Settings","Configurações do Payflow Link"
"Payflow Pro Gateway","Gateway Payflow Pro"
"Payflow Pro Settings","Configurações do Payflow Pro"
"Payment Action","Ação de Pagamento"
"Payment Applicable From","Pagamento Aplicável Para"
"Payment Method","Método de Pagamento"
"Payment Refund initiated by merchant","Reembolso do pagamento iniciado pelo comerciante"
"Payment has been declined. Please try again.","O Pagamento foi recusado. Por favor tente novamente."
"Payments by PayPal (150 X 40)","Pagamentos via PayPal (150 X 40)"
"Payments by PayPal (150 X 60)","Pagamentos via PayPal (150 X 60)"
"Payments by cards + seller protection - <strong style=""color:red"">Contact PayPal before activating</strong>","Pagamentos via cartão + proteção ao vendedor - <strong style=""color:red"">Entre em Contato com a PayPal antes de ativar</strong>"
"Paypal Billing Agreement Settings","Configurações de Contrato de Compra PayPal"
"Pending PayPal","Pendente da PayPal"
"Place Order","Realizar Pedido"
"Please agree to all the terms and conditions before placing the order.","Por favor concorde com todos os termos e condições antes de finalizar o seu pedido."
"Please do not refresh the page until you complete payment.","Por favor não atualize a página até que o pagamento seja completado."
"Please select a shipping method...","Por favor escolha um método de envio..."
"Points Incentive Redemption","Resgate de Pontos de Incentivo"
"Postage Payment to either USPS or UPS","Pagamento de frete para USPS ou UPS"
"Preapproved Payment (BillUser API), either sent or received","Pagamento pré-aprovado(API BillUser), para envio e recebimento"
"Preapproved Payment ID","ID de Pagamento Pré-Aprovado"
"Price","Preço"
"Process credit cards directly on your website with PayPal’s all-in-one online payment processing solution.","Aceite cartões de crédito diretamente no seu site com as soluções de pagamento Tudo Em Um da PayPal."
"Product Name","Nome do Produto"
"Proxy Host","Host do Proxy"
"Proxy Port","Porta do Proxy"
"Qty","Qtd"
"Quick set-up service lets your customers securely complete transactions.","O serviço rápido de configuração permite aos seus clientes completar as transações com segurança."
"Reauthorization","Reautorização"
"Reference Information","Informações de Referência"
"Refund issued by merchant.","Reembolso realizado pelo comerciante."
"Reimbursement for a chargeback.","Reembolso para um estorno."
"Reimbursement of Chargeback","Reembolso de um estorno"
"Report Date","Data do Relatório"
"Reports","Relatórios"
"Require CVV Entry","Exigir Digitação do CVV"
"Reversal","Reversão"
"Reversal of General Account Hold","Reversão de Retenção Geral da Conta"
"Reversal of Points Usage","Reversão de Uso de Pontos"
"Reversal of an adjustment.","Reversão de um ajuste."
"Reversal of hold for Dispute Investigation","Reversão de Retenção para Investigação de Disputa"
"Review Order","Confira o Pedido"
"Reward Voucher Redemption","Resgate de Voucher de Recompensas"
"SFTP Credentials","Credenciais SFTP"
"Sale","Venda"
"Sales","Vendas"
"Sandbox Credentials","Credenciais de Sandbox"
"Sandbox Mode","Modo Sandbox"
"Schedule","Agenda"
"Schedule description is too long.","Descrição de agenda muito longa."
"Scheduled Fetching","Atualização Agendada"
"Select a PayPal Solution","Selecione uma Solução PayPal"
"Settlement Consolidation","Consolidação de Liquidação"
"Settlement Report Settings","Configurações do Relatório de Liquidação"
"Settlement of a chargeback.","Liquidação de um estorno."
"Severe 3D Secure Card Validation","Validação de Cartão Severa do 3D Secure"
"Severe Validation Removes Chargeback Liability on Merchant","A Validação Severa Remove a Responsabilidade do Comerciante no Caso de Extornos"
"Severe validation removes chargeback liability on merchant.","A Validação Severa Remove a Responsabilidade do Comerciante no Caso de Extornos."
"Shipping","Envio"
"Shipping Address","Endereço de Envio"
"Shipping Information","Informações de Envio"
"Shipping Method","Método de Envio"
"Shop now using (150 X 40)","Compre agora usando (150 X 40)"
"Shop now using (150 X 60)","Compre agora usando (150 X 60)"
"Shortcut","Atalho"
"Shortcut Buttons Flavor","Tipo de Botões de Atalho"
"Shortcut on Product View","Atalho na View do Produto"
"Shortcut on Shopping Cart","Atalho no Carrinho de Compras"
"Sign a billing agreement to streamline further purchases with PayPal.","Assine um contrato de compra para simplificar suas próximas compras usando a PayPal."
"Solo","Solo"
"Sorry, no quotes are available for this order at this time.","Desculpe, nenhum quote disponível para esse pedido no momento."
"Sort Order","Ordem de Classificação"
"Specifies what the Authorization Honor Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Especifica qual é o período de Honra de Autorização na conta paypal do comerciante. Esse valor deve ser igual ao valor setado no site da PayPal."
"Specifies what the Order Valid Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Especifica qual é o período válido do pedido na conta paypal do comerciante. Esse valor deve ser igual ao valor setado no site da PayPal."
"Static","Estático"
"Submitting order information...","Enviando dados do pedido..."
"Subscriber name is too long.","O nome do assinante é muito longo."
"Subscription ID","ID de Assinatura"
"Subscription Payment, either payment sent or payment received","Pagamento de Assinatura, seja enviado ou recebido"
"Subtotal","Subtotal"
"Summary Text for Aggregated Cart","Texto de Sumário para Carrinho Agregado"
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","O suporte para cartões American Express exige contratos adicionais. Saiba mais em <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"Switch/Maestro","Switch/Maestro"
"Test Mode","Modo Teste"
"The background color for the checkout page around the header and payment form.","A cor de fundo ao redor do cabeçalho e do formulário de pagamento na página de checkout."
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","A cor de fundo para o cabeçalho da página de checkout. Código HTML hexadecimal de seis caracteres."
"The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.","O número padrão de autorizações filhas na sua conta PayPal é 1. Para realizar múltiplas autorizações por favor entre em contato com a PayPal e solicite o aumento desse valor."
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","Imagem exibida no canto superior esquerdo da página de checkout. O tamanho máximo é 750x90 pixels. O uso de <strong style=""color:red"">https</strong> é extremamente recomendado."
"The maximum number of child authorizations is reached.","O número máximo de transações filhas foi alcançado."
"The merchant account is not yet verified.","Essa conta de comerciante ainda não foi verificada."
"The payment curency does not match any of the merchant\'s balances currency.","A moeda de pagamento não corresponde a nenhuma das moedas de saldo da conta do comerciante."
"The payment eCheck is not yet cleared.","O eCheck de pagamento ainda não foi compensado."
"The payment is authorized but not settled.","O pagamento foi autorizado mas ainda não foi compensado."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","O pagamento está pendente porque ele foi feito para um endereço de email que ainda não está registrado ou confirmado na PayPal."
"The payment is pending while it is being reviewed by PayPal for risk.","O pagamento está pendente pois seu risco está sendo avaliado pela PayPal."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","O pagamento foi realizado via cartão de crédito. Para poder receber o dinheiro o comerciante deverá atualizar a sua conta para o status Business ou Premier."
"There was an error processing your order. Please contact us or try again later.","Houve um erro ao processar o seu pedido. Por favor, tente novamente mais tarde."
"Time of Day","Hora do Dia"
"Title","Título"
"Transaction ID","ID da Transação"
"Transaction Information","Informações da Transação"
"Transfer Cart Line Items","Transferir Itens de Linha do Carrinho"
"Transfer Shipping Options","Transferir Opções de Envio"
"Triggered Fraud Filters","Filtros de Fraude Acionados"
"Unable to cancel Express Checkout.","Impossível cancelar o Checkout Expresso."
"Unable to change status. Current status is not correspond to real status.","Impossível alterar o status. O status atual não corresponde ao status real."
"Unable to communicate with the PayPal gateway.","Impossível se comunicar com o gateway da PayPal."
"Unable to initialize Express Checkout review.","Impossível inicializar o review do Checkout Expresso."
"Unable to initialize Express Checkout.","Impossível inicializar o Checkout Expresso."
"Unable to place the order.","Impossível realizar o seu pedido."
"Unable to process Express Checkout approval.","Impossível processar a aprovação do Checkout Expresso."
"Unable to start Express Checkout.","Impossível iniciar o Checkout Expresso."
"Unable to update shipping method.","Impossível atualizar o método de envio."
"Unknown reason. Please contact PayPal customer service.","Motivo desconhecido. Por favor entre em contato com o serviço ao cliente PayPal."
"Update Shipping Method","Atualizar Método de Envio"
"Use Proxy","Usar Proxy"
"Use colon to specify port. For example: ""test.example.com:5224"".","Utilize dois pontos para especificar uma porta. Por exemplo: ""test.example.com:5224""."
"User","Usuário"
"User-initiated Currency Conversion","Conversão de Moeda Iniciada pelo Usuário"
"Uses store frontend name by default.","Utiliza por padrão o nome de frontend da loja."
"Vendor","Vendedor"
"View","Visualizar"
"View Demo","Visualizar Demo"
"View PayPal solutions.","Visualizar soluções PayPal."
"View Transaction","Visualizar Transação"
"View Transaction Details","Visualizar Detalhes da Transação"
"Virtual PayPal Debit Card Transaction","Transação de Cartão de Débito Virtual PayPal"
"Virtual Terminal Payment","Pagamento de Terminal Virtual"
"Void","Anular"
"We prefer PayPal (150 X 40)","Preferimos PayPal (150 X 40)"
"We prefer PayPal (150 X 60)","Preferimos PayPal (150 X 60)"
"Website Payments Plus","Website Payments Plus"
"Website Payments Plus Settings","Configurações do Website Payments Plus"
"Website Payments Pro","Website Payments Pro"
"Website Payments Pro (Payflow Edition) Settings","Configurações do Website Payments Pro (Payflow Edition)"
"Website Payments Pro Hosted Solution","Website Payments Pro Hosted Solution"
"Website Payments Pro Hosted Solution Settings","Configurações do Website Payments Pro Hosted Solution"
"Website Payments Pro Payflow Edition (includes Express Checkout)","Website Payments Pro Payflow Edition (inclue o Checkout Expresso)"
"Website Payments Pro Settings","Configurações do Website Payments Pro"
"Website Payments Standard","Website Payments Standard"
"Website Payments Standard Payment","Website Payments Standard Payment"
