"%s","%s"
"%s already exist.","%s já existe."
"%s already exists.","%s já existem."
"-- Please Select --","-- Favor Selecionar --"
"Date/time format ""%s"" is not supported.","O formato ""%s"" de data/hora não é suportado"
"Debug","Depuração"
"Default","Padrão"
"Default Country","País Padrão"
"Default Description","Descrição Padrão"
"Default Keywords","Palavras Chave Padrão"
"Default No-route URL","URL 'sem rota' Padrão"
"Default Pages","Páginas Padrão"
"Default Robots","Robots Padrão"
"Default Store","Loja Padrão"
"Default Store View","View Padrão da Loja"
"Default Title","Título Padrão"
"Default Web URL","URL Padrão da Web"
"Delete","Deletar"
"Delete Store","Deletar Loja"
"Delete Store View","Deletar View da Loja"
"Delete Website","Deletar Website"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Deletar o item %1$s não fará com que as informações associadas ao item %1$s (ex. categorias, produtos, etc) sejam removidas, mas impedirá que o item %1$s seja restaurado no futuro. Sugerimos que você crie um backup do seu banco de dados antes de remover o item %1$s."
"Design","Design"
"Design Change","Mudança de Design"
"Developer","Desenvolvedor"
"Developer Client Restrictions","Restrições de Cliente de Desenvolvedor"
"Disable Email Communications","Desativar Comunicações por Email"
"Disable Modules Output","Desativar Saída dos Módulos"
"Display Demo Store Notice","Exibir Aviso de Loja de Demonstração"
"Duplicate Of Template Name","Duplicado do Nome de Template"
"Edit Design Change","Editar Mudança de Design"
"Edit Store","Editar Loja"
"Edit Store View","Editar View da Loja"
"Edit Website","Editar Website"
"Empty identifier field name","Limpar nome do campo de identificador"
"Empty main table name","Limpar nome da tabela principal"
"Enable Charts","Ativar Gráficos"
"Enabled","Ativado"
"Enabled for Admin","Ativado no Admin"
"Enabled for Frontend","Ativado no Frontend"
"Environment Update Time","Tempo de Atualização do Ambiente"
"Error in file: ""%s"" - %s","Erro no arquivo: ""%s"" - %s"
"Error: Passwords do not match","Erro: as senhas não conferem"
"Exceptions Log File Name","Nome do Arquivo de Log de Exceções"
"Favicon Icon","ícone de Favicon"
"File %s does not exist","O arquivo %s não existe"
"File %s is not readable","O arquivo %s não possui permissões de leitura"
"File system","Sistema de Arquivos"
"First Day of Week","Primeiro Dia da Semana"
"Flush Cache Storage","Esvaziar Armazenamento do Cache"
"Flush Magento Cache","Esvaziar o Cache do Magento"
"Footer","Rodapé"
"Forgot Password Email Sender","Remetente do Email de Esqueci Minha Senha"
"Forgot Password Email Template","Template do Email de Esqueci Minha Senha"
"General","Geral"
"General Contact","Contato Geral"
"General Settings","Configurações Gerais"
"Global","Global"
"HTML Head","HTML Head"
"Header","Cabeçalho"
"Host","Host"
"How many links to display at once.","Quantos links devem ser exibidos de uma vez."
"ID Path for Specified Store","Caminho do ID da Loja Especificada"
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","Se a posição atual do frame não cobrir as páginas mais superiores, será renderizado um link para a posição atual mais/menos esse valor."
"Incorrect credit card expiration date.","Data de validade do cartão de crédito inválida."
"Input type ""%value%"" not found in the input types list.","Tipo de entrada ""%value%"" não encontrado na lista de tipos de entrada."
"Invalid base url type","Tipo de url base inválido"
"Invalid block name to set child %s: %s","Nome de bloco inválido para ter um filho setado %s: %s"
"Invalid block type: %s","Tipo de bloco inválido: %s"
"Invalid block: %s","Bloco inválido: %s"
"Invalid connection","Conexão Inválida"
"Invalid layout update handle","Handle de atualização de layout inválido"
"Invalid messages storage ""%s"" for layout messages initialization","Armazenamento de mensagens ""%s"" inválido ao inciar o layout das mensagens"
"Invalid query","Query inválida"
"Invalid transactional email code: ","Código de email transacional inválido: "
"Invalid website\'s configuration path: %s","Caminho de configuração de website inválido: %s"
"JavaScript Settings","Configurações de JavaScript"
"Layout","Layout"
"Leave empty for access from any location.","Deixe esse campo vazio para poder acessar de qualquer lugar."
"Locale","Locale"
"Locale Options","Opções de Locale"
"Log Settings","Configurações de Log"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Logs a partir da função Mage::log(). Arquivo localizado em {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Logs a partir da função Mage::logException(). Arquivo localizado em {{base_dir}}/var/log"
"Login is Case Sensitive","O Login é 'Case SenSiTiVe'"
"Logo Image Alt","Alt da Imagem de Logo"
"Logo Image Src","Src da Imagem de Logo"
"Mail Sending Settings","Configurações de Envio de Email"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Certifiquese que a URL base termina com uma '/' (barra), ex. http://seudominio/magento/"
"Manage Stores","Gerenciar Lojas"
"Match expressions in the same order as displayed in the configuration.","Casar expressões na mesma ordem que mostradas na configuração."
"Maximum length exceeded.","Comprimento máximo excedido."
"Media Storage","Armazenamento de Mídia"
"Merge CSS Files","Combinar Arquivos CSS"
"Merge JavaScript Files","Combinar Arquivos JavaScript"
"Miscellaneous HTML","HTMLs Diversos"
"Miscellaneous Scripts","Scripts Diversos"
"Model class does not exist: %s.","Classe de Model não existe: %s."
"Model collection resource name is not defined.","O nome de resource do Model não está definido."
"Module ""%1$s"" requires module ""%2$s"".","O módulo ""%1$s"" requer o módulo ""%2$s""."
"Name","Nome"
"New Design Change","Nova Mudança de Design"
"New Store","Nova Loja"
"New Store View","Nova View de Loja"
"New Website","Novo Website"
"No","Não"
"Offloader header","Cabeçalho de Descarga"
"Package","Pacote"
"Pagination","Paginação"
"Pagination Frame","Frame de Paginação"
"Pagination Frame Skip","Frame Skip de Paginação"
"Parent directory does not exist: %s","O diretório pái não existe: %s"
"Path ""%value%"" is not available and cannot be used.","O caminho ""%value%"" não está disponível e não pode ser usado."
"Path ""%value%"" is protected and cannot be used.","O caminho ""%value%"" está protegido e não pode ser usado."
"Path ""%value%"" may not include parent directory traversal (""../"", ""..\\).""","O caminho ""%value%"" não pode incluir identificadores de navegação (""../"", ""..\\)."""
"Please choose to register or to checkout as a guest","Por favor registre-se ou faça o checkout como visitante"
"Please define flag code.","Por favor defina um código de flag."
"Please enter 6 or more characters.","Por favor digite 6 ou mais caracteres."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Por favor digite 6 ou mais caracteres. Espaços no começo ou no fim serão ignorados."
"Please enter 7 or more characters. Password should contain both numeric and alphabetic characters.","Por favor digite 7 ou mais caracteres. As senhas devem possuir letras e números."
"Please enter a number 0 or greater in this field.","Por favor digite um número 0 ou maior nesse campo."
"Please enter a number greater than 0 in this field.","Por favor digite um número maior que 0 nesse campo."
"Please enter a number lower than 100.","Por favor digite um número menor que 100."
"Please enter a valid $ amount. For example $100.00.","Por favor digite uma quantia em $ válida. Por exemplo $100.00."
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","Por favor digite uma Chave de URL. Por exemplo ""pagina-exemplo"", ""pagina-exemplo.html"" or ""outronivel/pagina-exemplo""."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Por favor digite uma URL válida. Por exemplo http://www.exemplo.com ou www.exemplo.com"
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","Por favor digite uma URL válida. O protocolo é obrigatório (http://, https:// ou ftp://)"
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","Por favor, digite um identificador XML válido. Por exemplo algo_1, bloco5, id-4."
"Please enter a valid credit card number.","Por favor digite um número de cartão de crédito válido."
"Please enter a valid credit card verification number.","Por favor digite um número de verificação de cartão de crédito válido."
"Please enter a valid date between %s and %s","Por favor digite uma data entre %s e %s"
"Please enter a valid date equal to or greater than %s","Por favor digite uma data válida igual ou maior que %s"
"Please enter a valid date less than or equal to %s","Por favor digite uma data válida menor ou igual que %s"
"Please enter a valid date.","Por favor digite uma data válida."
"Please enter a valid day (1-%d).","Por favor digite um dia válido (1-%d)."
"Please enter a valid email address. For example johndoe@domain.com.","Por favor digite um email válido. Por exemplo johndoe@domain.com."
"Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.","Por favor digite um número de fax válido. Por exemplo (123) 456-7890 ou 123-456-7890."
"Please enter a valid full date","Por favor digite uma data completa válida"
"Please enter a valid month (1-12).","Por favor digite um mês válido (1-12)."
"Please enter a valid number in this field.","Por favor digite um número válido nesse campo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Por favor digite um número de telefone válido. Por exemplo (123) 456-7890 ou 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Por favor digite um número de segurança social (SSN) válido. Por exemplo 123-45-6789."
"Please enter a valid year (1900-%d).","Por favor digite um ano válido (1900-%d)."
"Please enter a valid zip code.","Por favor digite um CEP válido."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Por favor digite um CEP válido. Por exemplo 90602 ou 90602-1234."
"Please enter issue number or start date for switch/solo card type.","Por favor digite um número de emissor ou um data de validade inicial para cartões do tipo switch/solo."
"Please enter valid password.","Por favor digite uma senha válida."
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.","Por favor digite um comprimento CSS válido. Por exemplo 100px ou 77pt ou 20em ou .5ex ou 50%."
"Please make sure your passwords match.","Por favor certifique-se que as senhas são iguais."
"Please select State/Province.","Por favor selecione um Estado."
"Please select an option.","Por favor selecione uma opção."
"Please select one of the above options.","Por favor selecione uma das opções acima."
"Please select one of the options.","Por favor selecione uma das opções."
"Please set available and/or protected paths list(s) before validation.","Por favor configure a(s) lista(s) de caminhos válidos e/ou protegidos antes da validação."
"Please specify either a category or a product, or both.","Por favor especifique uma categoria, um produto ou ambos."
"Please specify payment method.","Por favor especifique um método de pagamento."
"Please specify shipping method.","Por favor especifique um método de envio."
"Please use letters only (a-z or A-Z) in this field.","Por favor utilize apenas letras (a-z ou A-Z) nesse campo."
"Please use letters only (a-z) in this field.","Por favor utilize apenas letras minúsculas (a-z) nesse campo."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Por favor utilize apenas números nesse campo. Evite usar espaços ou outros caracteres como pontos ou vírgulas."
"Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Por favor utilize apenas letras (a-z ou A-Z) ou números (0-9) nesse campo. Espaços e outros caracteres não são permitidos."
"Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.","Por favor utilize apenas letras (a-z ou A-Z), números (0-9), espaços ou # nesse campo."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in this field, first character must be a letter.","Por favor utilize apenas letras (a-z ou A-Z), números (0-9) ou underscores (_) nesse campo. O primeiro caractere deve ser uma letra."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Por favor utilize apenas letras (a-z) ou números (0-9) nesse campo. Espaços e outros caracteres não são permitidos."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Por favor utilize apenas letras minúsculas (a-z), números (0-9), espaços ou # nesse campo."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Por favor utilize apenas letras minúsculas (a-z), números (0-9) ou underscore(_) nesse campo. O primeiro caractere deve ser uma letra."
"Please use only visible characters and spaces.","Por favor utilize apenas caracteres visíveis ou espaços."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Por favor utilize esse formato de data: dd/mm/aaaa. Por exemplo 17/03/2006 para a  17 de Março de 2006."
"Please wait, loading...","Aguarde, carregando..."
"Polls","Enquetes"
"Port (25)","Porta (25)"
"Profiler","Profiler"
"Request Path for Specified Store","Solicitar Caminho para a Loja Especificada"
"Requested file may not include parent directory traversal (""../"", ""..\\ notation)""","O arquivo solicitado não pode conter identificadores de navegação (notações do tipo ""../"", ""..\\)"""
"Requested invalid store ""%s""","Loja inválida solicitada ""%s"""
"Resource is not set.","Recurso não configurado."
"Return-Path Email","Email de Retorno"
"Root Category","Categoria Raiz"
"Sales Representative","Representante de Vendas"
"Save","Salvar"
"Save Store","Salvar Loja"
"Save Store View","Salvar View da Loja"
"Save Website","Salvar Website"
"Search Engines Optimization","Otimização de Motores de Busca (SEO)"
"Secure","Seguro"
"Security","Segurança"
"Select Date","Selecionar Data"
"Select Media Database","Selecionar Banco de Dados de Mídia"
"Sender Email","Email do Remetente"
"Sender Name","Nome do Remetente"
"Services","Serviços"
"Session Cookie Management","Gerenciamento de Cookie de Sessão"
"Session Lifetime (seconds)","Validade da Sessão (segundos)"
"Session Validation Settings","Configurações de Validação de Sessão"
"Set Return-Path","Configurar Caminho de Retorno"
"Set as Default","Configurar como Padrão"
"Skin (Images / CSS)","Skin (Imagens / CSS)"
"Sort Order","Ordem de Classificação"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","O formato de data/hora ""%1$s"" não corresponde ao formato ""%2$s""."
"Start date cannot be greater than end date.","A data inicial não pode ser maior que a data final."
"Startup Page","Página Inicial"
"Status","Status"
"Storage Configuration for Media","Configurações de Armazenamento de Mídia"
"Store","Loja"
"Store Contact Address","Endereço de Contato da Loja"
"Store Contact Information","Informações de Contato da Loja"
"Store Contact Telephone","Telefone de Contato da Loja"
"Store Email Addresses","Endereços de Email da Loja"
"Store Information","Informações da Loja"
"Store Name","Nome da Loja"
"Store View","View da Loja"
"Store View Information","Informações da View da Loja"
"Store View Name","Nome da View da Loja"
"Store view doesn't exist","A view da loja não existe"
"Store with the same code","Loja com o mesmo código"
"System","Sistema"
"System Log File Name","Nome do arquivo de log do Sistema"
"Template Path Hints","Dicas de Caminho do Template"
"Template Settings","Configurações de Template"
"Template Variables","Variáveis de Template"
"Templates","Templates"
"Text length does not satisfy specified text range.","O comprimento do texto não satisfaz a faixa especificada."
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","O valor %s digitado é invalido. Certifique-se que ele segue o formato ""http://dominio.com/""."
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","O código da loja deve conter apenas letras minúsculas (a-z), números (0-9) ou underscore(_). O primeiro caractere deve ser uma letra"
"The store does not exist","A loja não existe"
"The store has been deleted.","A loja foi deletada com sucesso."
"The store has been saved.","A loja foi salva com sucesso."
"The store view has been deleted.","A view da loja foi deletada com sucesso."
"The store view has been saved","A view da loja foi salva com sucesso"
"The template Name must not be empty.","O Nome do Template não deve ser vazio."
"The value is not within the specified range.","O valor não pertence a faixa especificada."
"The website does not exist.","O webiste não existe."
"The website has been deleted.","O website foi deletado com sucesso."
"The website has been saved.","O website foi salvo com sucesso."
"Themes","Temas"
"This category and all its child elements","Essa categoria e todos os seus elementos filhos"
"This category and its child categories only","Apenas essa categoria e suas categorias filhas"
"This category and its products only","Apenas essa categoria e seus produtos"
"This category only","Apenas essa categoria"
"This date is a required value.","Essa data é um campo obrigatório."
"This is a required field.","Esse campo é obrigatório."
"This store cannot be deleted.","Essa loja não pode ser deletada."
"This store view cannot be deleted.","Essa view da loja não pode ser deletada."
"This website cannot be deleted.","Esse website não pode ser deletado."
"This will be displayed just before body closing tag.","Isso será exibido exatamente antes da tag de fechamento do body."
"This will be included before head closing tag in page HTML.","Isso será incluído exatamente antes da tag de fechamento do head da página HTML."
"Timezone","Fuso Horário"
"Title Prefix","Prefixo do Título"
"Title Suffix","Sufixo do Título"
"Translate Inline","Tradução Inline"
"Translate, blocks and other output caches should be disabled for both frontend and admin inline translations.","Os caches de Tradução, blocos e outros tipos de saída devem ser ativados para que a tradução inline no frontend e no admin funcione corretamente."
"Translations","Traduções"
"Two and more slashes together are not permitted in request path","Duas ou mais barras juntas não são permitidas no caminho de solicitação"
"Two and more slashes together are not permitted in url rewrite suffix","Duas ou mais barras juntas não são permitidas no sufixo de rewrite da URL"
"Unable to create directory: %s","Impossível criar o diretório: %s"
"Unable to delete store view. Please, try again later.","Erro ao deletar a view da loja. Por favor, tente novamente mais tarde."
"Unable to delete store. Please, try again later.","Erro ao deletar a loja. Por favor, tente novamente mais tarde."
"Unable to delete website. Please, try again later.","Erro ao deletar o website, Por favor, tente novamente mais tarde."
"Unable to proceed. Please, try again","Impossível continuar. Tente novamente mais tarde"
"Unable to proceed. Please, try again.","Impossível continuar. Tente novamente mais tarde."
"Unable to save file ""%s"" at ""%s""","Impossível salvar o arquivo ""%s"" no local ""%s"""
"Unable to save file: %s","Impossível salvar o arquivo: %s"
"Unknown old style column type definition: {$definition}.","Tipo antigo de definição de coluna desconhecido: {$definition}."
"Unknown scope ""%s"".","Escopo desconhecido ""%s""."
"Unsecure","Inseguro"
"Url Options","Opções de URL"
"Use Custom Admin Path","Usar Caminho Customizado para o Admin"
"Use HTTP Only","Usar Apenas HTTP"
"Use SID on Frontend","Usar o SID no Frontend"
"Use Secure URLs in Admin","Usar URLs Seguras no Admin"
"Use Secure URLs in Frontend","Usar URLs Seguras no Frontend"
"Use Web Server Rewrites","Usar os Rewrites do Servidor Web"
"Validate HTTP_USER_AGENT","Validar HTTP_USER_AGENT"
"Validate HTTP_VIA","Validar HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validar HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validar REMOTE_ADDR"
"Validation has failed.","Falha na validação."
"Values less than 60 are ignored. Note that changes will apply after logout.","Valores menores que 60 serão ignorados. Note que as mudanças serão aplicadas depois que você fizer logout."
"Variable Code must be unique.","O código da variável deve ser único."
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.","Aviso! Não é recomendado que essa opção seja ativada em ambientes de produção pois ela oferece um grave risco de segurança."
"Web","Web"
"Website","Website"
"Website Information","Informações do Webiste"
"Website Name","Nome do Website"
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","O código do website deve conter apenas letras minúsculas (a-z), números (0-9) ou underscore(_). A primeira caractere deve ser uma letra"
"Website with the same code","Website com o mesmo código"
"Weekend Days","Fins de Semana"
"Welcome Text","Texto de Boas Vindas"
"Wrong file info format","Formato de arquivo de info inválido"
"Wrong number of arguments for %s","Número inválido de argumentos para o item %s"
"Wrong old style column type definition: {$definition}.","Tipo antigo de definição de coluna inválido: {$definition}."
"Yes","Sim"
"You will have to log in after you save your custom admin path.","Você terá que fazer o login novamente após salvar as configurações de caminho customizado para o admin."
"Your design change for the specified store intersects with another one, please specify another date range.","A mudança de design da loja especificada conflita com a de outra loja, por favor especifique uma outra faixa de data."
"Your order cannot be completed at this time as there is no payment methods available for it.","Seu pedido não pode ser concluído no momento pois não existe nenhum método de pagamento disponível para ele."
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Seu pedido não pode ser concluído no momento pois não existe nenhum método de envio disponível para ele. Por favor, faça as alterações necessárias no seu endereço de envio e tente novamente."
"Your session has been expired, you will be relogged in now.","Sua sessão expirou, você será relogado agora."
"database ""%s""","banco de dados ""%s"""
