"%s was added to your shopping cart.","O item %s foi adicionado ao seu carrinho de compras."
"%s was updated in your shopping cart.","o item %s do seu carrinho de compras foi atualizado."
"* Required Fields","* Campos Obrigatórios"
"Shipping method has not been selected yet","O método de envio ainda não foi selecionado"
"Shipping methods in shopping cart","Métodos de envio no carrinho de compras"
"Shipping selection is not applicable.","Seleção de dados de envio não aplicável."
"Shopping Cart","Carrinho de Compras"
"Shopping Cart Form Before","Carrinho de Compras Anterior"
"Shopping Cart Sidebar","Sidebar do Carrinho de Compras"
"Shopping Cart Sidebar Extra Actions","Ações Extras da Sidebar do Carrinho de Compras"
"Shopping Cart is Empty","O Carrinho de Compras está Vazio"
"Shopping cart ability to set coupon code","Habilidade do carrinho de compras em setar o código do cupom"
"Show Content as","Mostrar Conteúdo como"
"Some of the requested products are not available in the desired quantity.","Alguns dos produtos listados não estão disponíveis na quantidade desejada."
"Some of the requested products are unavailable.","Alguns dos produtos selecionados não estão disponíveis."
"Some products quantities were recalculated because of quantity increment mismatch","A quantidade de alguns produtos foi recalculada por causa de inconsistências nos incrementos de quantidade"
"Sorry, no quotes are available for this order at this time.","Desculpe, nenhum quote está disponível para esse pedido no momento."
"State/Province","Estado"
"Status","Status"
"Store View","View da Loja"
"Street Address","Endereço"
"Street Address %s","Endereço %s"
"Submitting order information...","Enviando os dados do seu pedido..."
"Subtotal","Subtotal"
"Telephone","Telefone"
"Terms and Conditions","Termos e Condições"
"Terms and Conditions Information","Informações de Termos e Condições"
"Terms and conditions","Termos e condições"
"Text","Texto"
"Thank you for your purchase!","Obrigado por sua compra!"
"The condition has been deleted","A condição foi deletada"
"The condition has been saved.","A condição foi salva."
"The onepage checkout is disabled.","O checkout em uma página está desativado."
"The product could not be found.","O produto não foi encontrado."
"The product does not exist.","O produto não existe."
"There are <a href=""%s"">%s items</a> in your cart.","<a href=""%s"">%s itens</a> no seu carrinho."
"There is <a href=""%s"">1 item</a> in your cart.","<a href=""%s"">1 item</a> no seu carrinho."
"There was an error processing your order. Please contact us or try again later.","Houve um erro ao processar o seu pedido. Entre em contato conosco ou tente novamente."
"This condition no longer exists.","Essa condição não existe mais."
"Total","Total"
"Total for this address","Total para esse endereço"
"Unable to set Payment Method.","Impossível setar o Meio de Pagamento."
"Unit Price","Preço Unitário"
"Update Cart","Atualizar Carrinho"
"Update Qty &amp; Addresses","Atualizar Qtd &amp; Endereços"
"Update Shopping Cart","Atualizar o Carrinho"
"Update Total","Atualizar Total"
"Update product quantities in shopping cart","Atualizar as quantidades do produto no carrinho"
"Update product(s) quantities in shopping cart","Atualizar as quantidades dos produtos no carrinho"
"Use Billing Address","Usar Endereço de Cobrança"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Nós estamos processando o seu pedido e logo você irá receber um email com os detalhes do mesmo. Assim que o seu pedido foir enviado você irá receber um outro email com um link onde você poderá rastrea-lo e consultar o seu status."
"What's this?","O que é isso?"
"You have no items in your shopping cart.","Você não possui itens no seu carrinho."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Você irá receber um email de confirmação com os detelhes do seu pedido e um link onde poderá conferir o seu progresso."
"Your Checkout Progress","Progresso do Checkout"
"Your billing agreement # is: %s.","O # do seu contrato de compra é: %s."
"Your order # is: %s.","O # do seu pedido é: %s."
"Your order has been received","Seu pedido foi recebido com sucesso"
"Your order has been received.","Seu pedido foi recebido com sucesso."
"Your order number is ","O número do seu pedido é "
"Your recurring payment profiles:","Seus perfis de pagamentos recorrentes:"
"Zip/Postal Code","CEP"
"Order Summary", "Resumo do Pedido"
"Order Date: ", "Data do Pedido: "
"Shipping:", "Frete:"
"Payment", "Pagamento"
"Recommend to a Friend", "Recomendar a uma Amiga"
